quotation	type	source	translation	notes
Di bene fecerunt, inopis me quodque pusilli Finxerunt animi, raro et perpauca loquentis.		horatius	The gods have dealt kindly with me, since they have framed me of an humble and meek disposition, speaking but seldom and briefly.	
Duces tecum.	law term		Bring with you.	A writ which commands a person to appear in court on a certain day, and bring with him certain writings or evidences.
Difficile est mutare animum, et si quid est penitur insitum moribus, id subito evellere.		cicero	It is difficult to alter the disposition, and, if there is anything deeply implanted in our nature, suddenly to root it out.	
Ducimus autem Hos quoque felices, qui, ferre incommoda vitae, Nec jactare jugum, vita didicere magistra.		iunius iuvenalis	We consider those men happy, who, from their experience in life, have learned to bear its inconveniences without struggling against the yoke.	
Difficile est plurimum virtutem revereri, qui semper secunda fortuna sit usus.		rhetorica ad herennium	It is difficult for him to have a very high respect for virtue, who has enjoyed uninterrupted prosperity.	It is doubted if the four Books on Rhetoric, dedicated to Herennius, are the composition of Cicero.
Ducis ingenium, res Adversae nudare solent, celare secundae.		horatius	Disasters are wont to reveal the abilities of a general, good fortune to conceal them.	Hence the most consummate abilities of a general are shown in a masterly retreat.
Di bene vertant, tene crumenam.		plautus	May the gods send luck — take the purse.	
Difficile est satiram non scribere.		iunius iuvenalis	It is hard to avoid writing satire.	This was especially true in reference to the corrupt age in which Juvenal lived.
Di immortales, obsecro, aurum quid valet.		plautus	Immortal gods, I do beseech you, how powerful is gold!	
Ducunt volentem fata, nolentem trahunt.			Fate leads the willing, and the unwilling drags.	From the Greek of Cleanthes, in Seneca, Epistle 107.
Difficile est temperare felicitati, qua te non putes diu usurum.		tacitus	It is difficult to enjoy with moderation the happiness, which we suppose we shall not long enjoy.	
Di laneos pedes habent.	proverb		The gods have feet made of wool.	The judgments of Providence overtake us silently, and when we least expect them.
Dulce domum.			Sweet home.	A Latin song is thus called, which is sung at Winchester College, on the evening preceding the Whitsun holidays.
Difficilem oportet aurem habere ad crimina.		publilius syrus	One should be slow in giving ear to accusations.	
Dulce est desipere in loco.		horatius	It is pleasant to play the fool on the proper occasion.	"As there is ""a time for everything,"" there is a time for merriment and relaxation."
Difficilia quae pulchra.	proverb		The best things are worst to come by.	
Dulce est miseris socios habuisse doloris.			It is a comfort for the wretched to have companions in their sorrow.	
Difficilis, facilis, jucundus, acerbus es idem; Nee tecum possum vivere, nec sine te.		marcus valerius martialis	Crabbed but kind, pleasant and sour together, I can neither live with you nor yet without you.	
Dulce et decorum est pro patria mori.		horatius	It is sweet and glorious to die for one's country.	
Difficilis, querulus, laudator temporis acti.		horatius	Peevish, complaining, the praiser of by-gone times.	A natural and not unamiable feature, if not carried to an extreme.
Dulces moriens reminiscitur Argos.		virgilius	And, as he dies, his thoughts revert to his dear Argos.	
Difficulter continetur spiritus, Integritatis qui sincerae conscius, A noxiorum premitur insolentiis.		phaedrus	The mind is with difficulty restrained, which, conscious of unsullied integrity, is exposed to the insults of spiteful men.	
Difficulter reciduntur vitia quae nobiscum creverunt.			Vices which have grown with our growth are with difficulty lopped away.	
Dulcibus est verbis alliciendus amor.			Love must be allured with kind words.	
Diffugiunt, cadis Cum faece siccatis, amici Ferre jugum pariter dolosi.		horatius	Friends too faithless to bear equally the yoke of adversity, when the casks are emptied to the very dregs, fly off in all directions.	
Dulcior est fructus post multa pericula ductus.			The fruit is sweetest that is gained after many perils.	"A Leonine proverb quoted by Rabelais, ""Stolen fruit is the sweetest."""
Dignior est vestro nulla puella choro.		tibullus	No maiden, (Muses,) is more worthy of your choir.	
Dulcique animos novitate tenebo.		ovidius	And I will enthral your mind with the charms of novelty.	
Dignum laude virum Musa vetat mori.		horatius	The Muse forbids the man who is worthy of praise to die.	
Dulcis amor patriae, dulce videre suos.			Sweet is the love of one's country, sweet to behold one's kindred.	
Dignum patella operculum.			A cover worthy of the pot.	What better could be expected of one coming of such a stock?
Dulcis inexpertis cultura potentis amici; Expertus metuit.		horatius	Worship of the great is pleasant to those who are inexperienced in the world, but he who has gained experience dreads dependence.	
Dignum sapiente, bonoque est.		horatius	'Tis worthy a wise man, and a good.	
Dum Aurora fulget, moniti adolescentes, flores colligite.			Take my advice, my young friends, and gather flowers while the morning shines.	"Employ the hours of sunshine, for ""when the night cometh, no man can work."""
Diis aliter visum.		virgilius	It has seemed otherwise to the gods.	
Dum bene dives ager; dum rami pondere nutant, Afferat in calatho rustica dona puer.		ovidius	While the country is bountifully rich, while the branches are bending beneath their load, let the boy bring your country presents in his basket.	
Diis proximus ille est Quem ratio, non ira movet, qui facta rependens Consilio punire potest.		claudianus	He is nearest to the gods, whom reason, not passion, influences; and who, weighing the circumstances, can inflict punishment with discretion.	
Dum caput infestat, labor omnia membra molestat.			While the head aches, weariness oppresses all the limbs.	
Dilationes in lege sunt odiosae.	law maxim		Delays in the law are odious.	
Dum curae ambiguae, dum spes incerta futuri.		virgilius	While I am immersed in doubtful care, with uncertain hopes of the future.	
Diligere parentes prima naturae lex est.		valerius maximus	To love one's parents is the first law of nature.	
Diligimus omnia vera, id est fidelia, simplicia, constantia; vana, falsa, fallentia odimus.		cicero	We (naturally) love all qualities that are genuine, that is, that are faithful, frank, and constant; such as are vain, fickle, and deceitful, we abhor.	
Diligitur nemo, nisi cui Fortuna secunda est, Quae, simul intonuit, proxima quaeque fugat.		ovidius	No one is beloved, but the man to whom Fortune is favourable; soon as she thunders, she chases away all that are near.	
Dimidium facti, qui coepit, habet.		horatius	He who has made a beginning, has half done.	"This is sometimes quoted ""bene coepit."" So our old proverb, ""Well begun is half done."""
Dimidium plus toto.	proverb		The half is more than the whole.	Meaning that the half which we have with safety, is better than the whole when only to bo obtained with danger. A translation from Hesiod.
Dum deliberamus quando incipiendum, incipere jam serum fit.		quintilianus	While we are deliberating when to begin, it becomes too late to begin.	See Deliberat, &c.
Diruit, aedificat, mutat quadrata rotundis.		horatius	He pulls down, he builds up again, he changes square for round.	Descriptive of a restless love of change.
Dum fata fugimus, fata stulti incurrimus.		buchanan	While we fly from our fate, like fools we rush on to it.	
Dum fata sinunt vivite laeti.		seneca	So long as the Fates permit, live in cheerfulness.	
Dum flammas Jovis et sonitus imitatur Olympi.		virgilius	While he imitates the flames of Jove, and the lightnings of Olympus.	
Dum in dubio est animus, paulo momento huc illuc impellitur.		terentius	While the mind is in suspense, it is swayed by a slight impulse one way or the other.	
Dum lego, assentior.		cicero	Whilst I read, I assent.	The exclamation of Cicero, while reading Plato's reasoning on the immortality of the soul.
Di melius, quam nos moneamus talia quenquam.		ovidius	May the gods forbid that I should advise any one to follow such a course.	
Dum licet, in rebus jucundis vive beatus, Vive memor quam sis aevi brevis.		horatius	While you have the power, live contented with happy circumstances, live mindful how short is life.	See Dum vivimus, &c.
Di nobis laboribus omnia vendunt.	proverb		The gods sell us everything for our labours.	
Di nos quasi pilas homines habent.		plautus	The gods treat us men like balls.	
Di, quibus imperium est animarum, umbraeque silentes, Et Chaos, et Phlegethon, loca nocte tacentia late; Sit mihi fas audita loqui! sit numine vestro Pandere res alta terra et caligine mersas.		virgilius	Ye gods, to whom belongs the empire of the ghosts, and ye silent shades, and Chaos, and Phlegethon, places where silence reigns around in night! permit me to utter the secrets I have heard; may I by your divine will disclose things buried deep in the earth and darkness.	
Di talem terris avertite pestem.		virgilius	Ye gods, avert from the earth such a scourge.	
